Study Name	Tungsten_Calibration
Sample Name	2025-04-28
Run Name	spot1
Operator	Angus
Date	4/28/2025
Time	6:34 PM
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	100.000001E-12
time stamp (ms)	6:34:39 PM
	
Time	Amplitude
0.000000E+0	-2.774978E-3
1.000000E-10	-2.874329E-3
2.000000E-10	-2.989096E-3
3.000000E-10	-3.050763E-3
4.000000E-10	-3.043911E-3
5.000000E-10	-2.965115E-3
6.000000E-10	-2.884606E-3
7.000000E-10	-2.793820E-3
8.000000E-10	-2.754422E-3
9.000000E-10	-2.798959E-3
1.000000E-9	-2.896597E-3
1.100000E-9	-3.004513E-3
1.200000E-9	-3.115855E-3
1.300000E-9	-3.160391E-3
1.400000E-9	-3.144975E-3
1.500000E-9	-3.079883E-3
1.600000E-9	-2.992522E-3
1.700000E-9	-2.913727E-3
1.800000E-9	-2.848634E-3
1.900000E-9	-2.829792E-3
2.000000E-9	-2.879468E-3
2.100000E-9	-2.963402E-3
2.200000E-9	-3.061040E-3
2.300000E-9	-3.139836E-3
2.400000E-9	-3.192937E-3
2.500000E-9	-3.208354E-3
2.600000E-9	-3.216919E-3
2.700000E-9	-3.186086E-3
2.800000E-9	-3.184373E-3
2.900000E-9	-3.155253E-3
3.000000E-9	-3.127845E-3
3.100000E-9	-3.083309E-3
3.200000E-9	-3.021642E-3
3.300000E-9	-2.983958E-3
3.400000E-9	-2.971967E-3
3.500000E-9	-2.971967E-3
3.600000E-9	-3.014791E-3
3.700000E-9	-3.045624E-3
3.800000E-9	-3.081596E-3
3.900000E-9	-3.097012E-3
4.000000E-9	-3.172382E-3
4.100000E-9	-3.244326E-3
4.200000E-9	-3.352242E-3
4.300000E-9	-3.391640E-3
4.400000E-9	-3.405343E-3
4.500000E-9	-3.326548E-3
4.600000E-9	-3.220345E-3
4.700000E-9	-3.079883E-3
4.800000E-9	-2.971967E-3
4.900000E-9	-2.913727E-3
5.000000E-9	-2.949699E-3
5.100000E-9	-3.021642E-3
5.200000E-9	-3.131271E-3
5.300000E-9	-3.208354E-3
5.400000E-9	-3.252891E-3
5.500000E-9	-3.232335E-3
5.600000E-9	-3.177521E-3
5.700000E-9	-3.047337E-3
5.800000E-9	-2.930856E-3
5.900000E-9	-2.834931E-3
6.000000E-9	-2.778404E-3
6.100000E-9	-2.766413E-3
6.200000E-9	-2.781829E-3
6.300000E-9	-2.817801E-3
6.400000E-9	-2.908588E-3
6.500000E-9	-3.013078E-3
6.600000E-9	-3.162104E-3
6.700000E-9	-3.282011E-3
6.800000E-9	-3.371084E-3
6.900000E-9	-3.355668E-3
7.000000E-9	-3.268307E-3
7.100000E-9	-3.100438E-3
7.200000E-9	-2.939421E-3
7.300000E-9	-2.812663E-3
7.400000E-9	-2.769839E-3
7.500000E-9	-2.819514E-3
7.600000E-9	-2.924004E-3
7.700000E-9	-3.002800E-3
7.800000E-9	-3.088447E-3
7.900000E-9	-3.122706E-3
8.000000E-9	-3.129558E-3
8.100000E-9	-3.098725E-3
8.200000E-9	-3.095299E-3
8.300000E-9	-3.042198E-3
8.400000E-9	-3.035346E-3
8.500000E-9	-2.997661E-3
8.600000E-9	-2.985670E-3
8.700000E-9	-2.959976E-3
8.800000E-9	-2.965115E-3
8.900000E-9	-2.980532E-3
9.000000E-9	-3.019929E-3
9.100000E-9	-3.019929E-3
9.200000E-9	-2.990809E-3
9.300000E-9	-2.896597E-3
9.400000E-9	-2.790394E-3
9.500000E-9	-2.670488E-3
9.600000E-9	-2.634516E-3
9.700000E-9	-2.679052E-3
9.800000E-9	-2.831505E-3
9.900000E-9	-2.983958E-3
1.000000E-8	-3.105577E-3
1.010000E-8	-3.158678E-3
1.020000E-8	-3.129558E-3
1.030000E-8	-3.061040E-3
1.040000E-8	-2.995948E-3
1.050000E-8	-2.949699E-3
1.060000E-8	-2.958263E-3
1.070000E-8	-2.970254E-3
1.080000E-8	-2.989096E-3
1.090000E-8	-2.947986E-3
1.100000E-8	-2.882893E-3
1.110000E-8	-2.822940E-3
1.120000E-8	-2.817801E-3
1.130000E-8	-2.857199E-3
1.140000E-8	-2.956550E-3
1.150000E-8	-3.076457E-3
1.160000E-8	-3.187799E-3
1.170000E-8	-3.254604E-3
1.180000E-8	-3.232335E-3
1.190000E-8	-3.115855E-3
1.200000E-8	-2.995948E-3
1.210000E-8	-2.864051E-3
1.220000E-8	-2.812663E-3
1.230000E-8	-2.843496E-3
1.240000E-8	-2.985670E-3
1.250000E-8	-3.131271E-3
1.260000E-8	-3.285437E-3
1.270000E-8	-3.312844E-3
1.280000E-8	-3.249465E-3
1.290000E-8	-3.097012E-3
1.300000E-8	-2.965115E-3
1.310000E-8	-2.905162E-3
1.320000E-8	-2.917152E-3
1.330000E-8	-2.965115E-3
1.340000E-8	-3.033633E-3
1.350000E-8	-3.038772E-3
1.360000E-8	-3.001087E-3
1.370000E-8	-2.908588E-3
1.380000E-8	-2.879468E-3
1.390000E-8	-2.894884E-3
1.400000E-8	-3.021642E-3
1.410000E-8	-3.141549E-3
1.420000E-8	-3.266594E-3
1.430000E-8	-3.273446E-3
1.440000E-8	-3.223771E-3
1.450000E-8	-3.112429E-3
1.460000E-8	-2.997661E-3
1.470000E-8	-2.870903E-3
1.480000E-8	-2.816088E-3
1.490000E-8	-2.804098E-3
1.500000E-8	-2.891458E-3
1.510000E-8	-2.997661E-3
1.520000E-8	-3.105577E-3
1.530000E-8	-3.141549E-3
1.540000E-8	-3.150114E-3
1.550000E-8	-3.126132E-3
1.560000E-8	-3.117568E-3
1.570000E-8	-3.114142E-3
1.580000E-8	-3.165530E-3
1.590000E-8	-3.194650E-3
1.600000E-8	-3.203215E-3
1.610000E-8	-3.141549E-3
1.620000E-8	-3.086735E-3
1.630000E-8	-2.980532E-3
1.640000E-8	-2.901736E-3
1.650000E-8	-2.828079E-3
1.660000E-8	-2.762987E-3
1.670000E-8	-2.740719E-3
1.680000E-8	-2.744144E-3
1.690000E-8	-2.771552E-3
1.700000E-8	-2.821227E-3
1.710000E-8	-2.843496E-3
1.720000E-8	-2.838357E-3
1.730000E-8	-2.776691E-3
1.740000E-8	-2.747570E-3
1.750000E-8	-2.742432E-3
1.760000E-8	-2.797246E-3
1.770000E-8	-2.898310E-3
1.780000E-8	-2.992522E-3
1.790000E-8	-3.045624E-3
1.800000E-8	-3.049050E-3
1.810000E-8	-3.006226E-3
1.820000E-8	-3.006226E-3
1.830000E-8	-3.030207E-3
1.840000E-8	-3.107290E-3
1.850000E-8	-3.170669E-3
1.860000E-8	-3.172382E-3
1.870000E-8	-3.088447E-3
1.880000E-8	-2.965115E-3
1.890000E-8	-2.822940E-3
1.900000E-8	-2.727015E-3
1.910000E-8	-2.685904E-3
1.920000E-8	-2.715024E-3
1.930000E-8	-2.773265E-3
1.940000E-8	-2.858912E-3
1.950000E-8	-2.917152E-3
1.960000E-8	-2.975393E-3
1.970000E-8	-3.002800E-3
1.980000E-8	-3.055901E-3
1.990000E-8	-3.076457E-3
2.000000E-8	-3.091873E-3
2.010000E-8	-3.071318E-3
2.020000E-8	-3.025068E-3
2.030000E-8	-2.983958E-3
2.040000E-8	-2.961689E-3
2.050000E-8	-2.951411E-3
2.060000E-8	-2.971967E-3
2.070000E-8	-2.983958E-3
2.080000E-8	-3.030207E-3
2.090000E-8	-3.057614E-3
2.100000E-8	-3.081596E-3
2.110000E-8	-3.054188E-3
2.120000E-8	-2.999374E-3
2.130000E-8	-2.876042E-3
2.140000E-8	-2.716737E-3
2.150000E-8	-2.565998E-3
2.160000E-8	-2.504331E-3
2.170000E-8	-2.495767E-3
2.180000E-8	-2.617386E-3
2.190000E-8	-2.774978E-3
2.200000E-8	-2.934282E-3
2.210000E-8	-3.018217E-3
2.220000E-8	-3.016504E-3
2.230000E-8	-2.905162E-3
2.240000E-8	-2.752709E-3
2.250000E-8	-2.564285E-3
2.260000E-8	-2.430675E-3
2.270000E-8	-2.387851E-3
2.280000E-8	-2.470072E-3
2.290000E-8	-2.627664E-3
2.300000E-8	-2.846922E-3
2.310000E-8	-3.035346E-3
2.320000E-8	-3.156965E-3
2.330000E-8	-3.138123E-3
2.340000E-8	-3.021642E-3
2.350000E-8	-2.812663E-3
2.360000E-8	-2.629377E-3
2.370000E-8	-2.518035E-3
2.380000E-8	-2.533452E-3
2.390000E-8	-2.634516E-3
2.400000E-8	-2.831505E-3
2.410000E-8	-3.030207E-3
2.420000E-8	-3.263168E-3
2.430000E-8	-3.566361E-3
2.440000E-8	-4.068255E-3
2.450000E-8	-4.923017E-3
2.460000E-8	-6.368747E-3
2.470000E-8	-8.503083E-3
2.480000E-8	-1.141338E-2
2.490000E-8	-1.496433E-2
2.500000E-8	-1.895379E-2
2.510000E-8	-2.308200E-2
2.520000E-8	-2.711428E-2
2.530000E-8	-3.087421E-2
2.540000E-8	-3.437548E-2
2.550000E-8	-3.749134E-2
2.560000E-8	-4.016011E-2
2.570000E-8	-4.227561E-2
2.580000E-8	-4.378471E-2
2.590000E-8	-4.463263E-2
2.600000E-8	-4.463091E-2
2.610000E-8	-4.366310E-2
2.620000E-8	-4.164524E-2
2.630000E-8	-3.874179E-2
2.640000E-8	-3.514973E-2
2.650000E-8	-3.108662E-2
2.660000E-8	-2.698239E-2
2.670000E-8	-2.317107E-2
2.680000E-8	-2.001582E-2
2.690000E-8	-1.769477E-2
2.700000E-8	-1.641691E-2
2.710000E-8	-1.614798E-2
